file,line,module,bound_name,confidence
tests/test_episode_credit_refactor.py,3,__future__.annotations,annotations,high
tests/test_episode_credit_refactor.py,9,torch.distributions.Categorical,Categorical,high
tests/test_episode_credit_refactor.py,11,rl.custom_ppo.latent.credit.episode.advantages.compute_fixed_episode_advantages,compute_fixed_episode_advantages,high
tests/test_evaluation_aggregation.py,1,__future__.annotations,annotations,high
tests/test_evaluation_artifacts.py,1,__future__.annotations,annotations,high
tests/test_evaluation_episode_runner.py,1,__future__.annotations,annotations,high
tests/test_evaluation_equivalence.py,1,__future__.annotations,annotations,high
tests/test_evaluation_gates.py,1,__future__.annotations,annotations,high
tests/test_evaluation_manifest.py,1,__future__.annotations,annotations,high
tests/test_evaluation_matched_seed.py,1,__future__.annotations,annotations,high
tests/test_evaluation_orchestrator.py,1,__future__.annotations,annotations,high
tests/test_evaluation_probes.py,1,__future__.annotations,annotations,high
