tick,b0_x,b0_y,b1_x,b1_y,r0_x,r0_y,r1_x,r1_y,a0_macro,a0_tgt,a1_macro,a1_tgt,blue_score,red_score
110,15.258840560913086,9.344157218933105,14.40075397491455,10.328581809997559,9.485047340393066,9.930013656616211,8.326454162597656,9.112868309020996,4,45,0,45,0,0
111,14.171170234680176,9.397957801818848,15.470989227294922,10.127290725708008,10.517658233642578,9.825237274169922,9.363790512084961,9.147477149963379,4,45,0,45,0,0
112,13.083499908447266,9.451759338378906,16.55205726623535,10.258482933044434,11.548545837402344,9.704675674438477,10.400298118591309,9.201482772827148,0,45,0,45,0,0
113,12.17023754119873,9.036965370178223,16.549915313720703,11.347480773925781,13.0208158493042,10.05512523651123,10.935322761535645,9.267906188964844,0,45,0,45,0,0
114,11.086087226867676,9.13962459564209,15.468338966369629,11.474418640136719,13.995434761047363,10.412030220031738,11.908618927001953,9.628402709960938,0,45,4,45,0,0
115,10.001936912536621,9.242283821105957,14.04090690612793,11.717911720275879,15.104708671569824,10.601360321044922,12.83000659942627,10.106220245361328,0,45,0,45,0,0
116,8.917786598205566,9.34494400024414,12.962823867797852,11.564098358154297,14.860034942626953,11.363374710083008,13.45345687866211,10.936023712158203,0,45,0,45,0,0
117,7.833636283874512,9.447603225708008,11.884740829467773,11.410284996032715,13.888351440429688,11.553272247314453,13.116189956665039,11.367770195007324,0,45,0,45,0,0
118,6.749485969543457,9.550263404846191,10.806657791137695,11.256471633911133,13.35299301147461,11.488226890563965,11.985518455505371,11.464055061340332,0,45,0,45,0,0
119,5.665335655212402,9.652923583984375,9.728574752807617,11.10265827178955,12.319352149963379,11.394149780273438,11.373741149902344,11.356328010559082,0,45,0,45,0,0
120,4.581185340881348,9.755583763122559,8.650491714477539,10.948844909667969,12.21971321105957,10.361030578613281,10.815187454223633,10.481524467468262,0,45,0,45,0,0
121,3.497035026550293,9.858242988586426,7.572408676147461,10.795031547546387,13.216323852539062,10.071147918701172,11.570960998535156,9.770137786865234,0,45,0,45,0,0
122,3.4704809188842773,10.946919441223145,6.494325637817383,10.641218185424805,14.187687873840332,10.436820983886719,12.561894416809082,10.078869819641113,0,45,0,45,0,0
123,4.548336982727051,11.102313041687012,5.416242599487305,10.487404823303223,15.161261558532715,10.796568870544434,13.554658889770508,10.381661415100098,0,45,0,45,0,0
124,5.636558532714844,11.061141967773438,4.338159561157227,10.33359146118164,15.691669464111328,10.973299980163574,14.552193641662598,10.66834545135498,0,45,0,45,0,0
125,6.724780082702637,11.019970893859863,3.2600765228271484,10.179779052734375,16.362224578857422,11.132599830627441,14.848082542419434,10.727375984191895,0,45,0,45,0,0
126,7.81300163269043,10.978799819946289,3.2850327491760254,9.091064453125,16.570199966430664,10.995237350463867,15.412891387939453,10.822359085083008,0,45,0,45,0,0
127,8.901223182678223,10.937628746032715,4.369030952453613,8.98681354522705,16.666582107543945,10.6090726852417,15.631999015808105,10.798578262329102,0,45,0,45,0,0
128,9.989444732666016,10.89645767211914,5.45182466506958,9.102910995483398,16.439470291137695,10.191269874572754,15.70211124420166,10.718668937683105,0,45,0,45,0,0
129,11.077666282653809,10.855286598205566,6.534618377685547,9.219008445739746,16.31201934814453,9.633874893188477,15.430159568786621,11.014501571655273,0,45,0,45,0,0
130,12.165887832641602,10.814115524291992,7.617412090301514,9.335105895996094,15.426482200622559,9.8405122756958,15.003898620605469,10.570321083068848,0,45,0,45,0,0
131,12.798737525939941,10.566457748413086,8.70020580291748,9.451203346252441,14.792252540588379,9.790793418884277,14.061178207397461,11.138904571533203,0,45,0,45,0,0
