condition,opponent,seed,episode_index,opportunity_index,step,selected_z,prev_z,switch_occurred,logit_0,logit_1,logit_2,logit_3,prob_0,prob_1,prob_2,prob_3
learned_qphi_switching,OP6,2004,0,5,160,1,3,1,-0.018624357879161835,0.095669686794281,-0.013330668210983276,0.018271148204803467,0.2401552051305771,0.2692335844039917,0.24142986536026,0.24918133020401
learned_qphi_switching,OP6,2004,0,6,192,3,1,1,-0.09347987920045853,0.007882519625127316,-0.07229271531105042,0.07201091945171356,0.23212286829948425,0.25688520073890686,0.23709338903427124,0.27389851212501526
learned_qphi_switching,OP6,2005,0,0,0,3,3,0,-0.14339810609817505,0.04456852376461029,-0.0068944841623306274,0.11403870582580566,0.2152082324028015,0.2597118318080902,0.24668438732624054,0.27839553356170654
learned_qphi_switching,OP6,2005,0,1,32,1,3,1,-0.044039979577064514,0.03894969820976257,-0.048909880220890045,0.007565770298242569,0.24185942113399506,0.26278766989707947,0.24068444967269897,0.2546684443950653
learned_qphi_switching,OP6,2005,0,2,64,1,1,0,-0.10610851645469666,0.08022406697273254,-0.04304211214184761,0.07605450600385666,0.22372716665267944,0.2695516049861908,0.23829123377799988,0.26843002438545227
learned_qphi_switching,OP6,2006,0,0,0,3,1,1,-0.1294102519750595,0.044729188084602356,0.0005036145448684692,0.12732623517513275,0.21637263894081116,0.25753137469291687,0.24639008939266205,0.27970588207244873
learned_qphi_switching,OP6,2006,0,1,32,1,3,1,-0.05434385687112808,0.04494646191596985,-0.042033836245536804,0.01876065880060196,0.23851457238197327,0.26341235637664795,0.24146884679794312,0.25660422444343567
learned_qphi_switching,OP6,2006,0,2,64,3,1,1,-0.057850610464811325,0.03962354734539986,-0.0720924437046051,0.05743040889501572,0.23750539124011993,0.2618218958377838,0.2341468632221222,0.26652589440345764
learned_qphi_switching,OP6,2006,0,3,96,1,3,1,-0.06733652949333191,0.07246449589729309,-0.03201201930642128,0.05228882282972336,0.23185311257839203,0.2666414976119995,0.2401895970106125,0.2613157629966736
learned_qphi_switching,OP6,2006,0,4,128,1,1,0,-0.04105140268802643,0.08026634156703949,-0.015665508806705475,0.02818046510219574,0.23660916090011597,0.2671278417110443,0.24269258975982666,0.25357040762901306
learned_qphi_switching,OP6,2007,0,0,0,3,1,1,-0.1377241313457489,0.05287526547908783,0.0017471611499786377,0.12156924605369568,0.21479257941246033,0.2598935663700104,0.24693968892097473,0.27837416529655457
