kind,failure_label,outcome_step,band,band_start_off,band_end_off,episode_key,opponent,eval_seed,train_seed,window_start,window_end,window_len,opp_has_carrier,opp_home_threatened,opp_leading,score_diff_at_end,score_stratum,carrier_unescorted_frac,mean_escort_distance,mean_carrier_pressure,carrier_pressure_trend,carrier_pressure_increasing,defender_tag_available_frac,mean_nearest_ready_defender,own_cooldown_bound_frac,both_forward_frac,none_forward_frac,mean_team_separation,intervention_margin,mate_can_intervene,leading_frac,trailing_frac
failure,tagged_while_carrying,107,earliest,-30,-20,OP6:9400012,OP6,9400012,3200001,77,87,10,False,True,True,0.0,tied,0.0,nan,nan,nan,False,0.1,nan,0.7,0.2,0.1,0.32811095118522643,nan,0.0,0.5,0.0
failure,tagged_while_carrying,107,middle,-20,-10,OP6:9400012,OP6,9400012,3200001,87,97,10,False,True,False,0.0,tied,0.0,nan,nan,nan,False,0.1,nan,0.3,0.0,0.4,0.2793113201856613,nan,0.0,0.0,0.0
failure,tagged_while_carrying,107,latest,-10,0,OP6:9400012,OP6,9400012,3200001,97,107,10,True,True,False,0.0,tied,0.3,0.15268621854484082,0.25892324894666674,-0.1536426544189453,True,0.8,0.36364009976387024,1.0,0.7,0.0,0.15268621854484082,0.25675867730751634,0.8,0.0,0.0
failure,tagged_while_carrying,76,earliest,-30,-20,OP6:9400013,OP6,9400013,3200001,46,56,10,True,True,False,0.0,tied,0.8,0.3353253543376923,0.394042032957077,-0.12564748525619507,True,1.0,0.4385092556476593,0.8,0.2,0.0,0.3998133033514023,0.10318390130996705,0.8,0.0,0.0
failure,tagged_while_carrying,76,middle,-20,-10,OP6:9400013,OP6,9400013,3200001,56,66,10,True,True,False,0.0,tied,0.6,0.23601149693131446,0.16974904015660286,-0.09739798307418823,True,1.0,0.38162028789520264,1.0,0.3,0.1,0.23601149693131446,0.14560879096388818,0.7,0.0,0.0
failure,tagged_while_carrying,76,latest,-10,0,OP6:9400013,OP6,9400013,3200001,66,76,10,True,True,True,1.0,leading,1.0,0.321160227060318,0.09282427281141281,nan,False,1.0,0.59162437915802,1.0,0.1,0.3,0.33726765811443327,0.270464152097702,1.0,1.0,0.0
failure,dropped_the_flag,76,earliest,-30,-20,OP6:9400013,OP6,9400013,3200001,46,56,10,True,True,False,0.0,tied,0.8,0.3353253543376923,0.394042032957077,-0.12564748525619507,True,1.0,0.4385092556476593,0.8,0.2,0.0,0.3998133033514023,0.10318390130996705,0.8,0.0,0.0
failure,dropped_the_flag,76,middle,-20,-10,OP6:9400013,OP6,9400013,3200001,56,66,10,True,True,False,0.0,tied,0.6,0.23601149693131446,0.16974904015660286,-0.09739798307418823,True,1.0,0.38162028789520264,1.0,0.3,0.1,0.23601149693131446,0.14560879096388818,0.7,0.0,0.0
failure,dropped_the_flag,76,latest,-10,0,OP6:9400013,OP6,9400013,3200001,66,76,10,True,True,True,1.0,leading,1.0,0.321160227060318,0.09282427281141281,nan,False,1.0,0.59162437915802,1.0,0.1,0.3,0.33726765811443327,0.270464152097702,1.0,1.0,0.0
failure,tagged_while_carrying,100,earliest,-30,-20,OP6:9400014,OP6,9400014,3200001,70,80,10,False,True,True,0.0,tied,0.0,nan,nan,nan,False,0.1,nan,0.3,0.2,0.1,0.358648444712162,nan,0.0,0.4,0.0
