scale,strategy,pole,seed,tick,agent,is_defender,carrying,tagged,teacher_tx,teacher_ty,adapt_category,adapt_macro,adapt_residual,committed_macro,commit_ticks_left,at_boundary,wants_switch,switch_blocked,exec_tx,exec_ty,exec_residual
4v4,GUARD,A,17600001,43,2,1,0,0,4.9448,9.427,WAYPOINT,0,1.0017,4,1,0,1,1,2.0,10.0,3.0
4v4,GUARD,A,17600001,43,3,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,1,0,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,44,0,0,0,0,17.0,10.0,GET_FLAG,2,0.0,0,2,0,1,1,3.0,5.0,14.8661
4v4,GUARD,A,17600001,44,1,0,0,0,17.0,10.0,GET_FLAG,2,0.0,2,2,0,0,0,17.0,10.0,0.0
4v4,GUARD,A,17600001,44,2,1,0,0,4.9448,9.427,WAYPOINT,0,1.0017,4,0,1,1,0,2.0,10.0,3.0
4v4,GUARD,A,17600001,44,3,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,0,1,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,45,0,0,0,0,17.0,10.0,GET_FLAG,2,0.0,0,1,0,1,1,3.0,5.0,14.8661
4v4,GUARD,A,17600001,45,1,0,0,0,17.0,10.0,GET_FLAG,2,0.0,2,1,0,0,0,17.0,10.0,0.0
4v4,GUARD,A,17600001,45,2,1,0,0,2.0,10.0,GO_HOME,4,0.0,0,3,0,1,1,4.75,8.4444,3.1595
4v4,GUARD,A,17600001,45,3,1,0,0,2.0,10.0,GO_HOME,4,0.0,4,3,0,0,0,2.0,10.0,0.0
4v4,GUARD,A,17600001,46,0,0,0,0,17.0,10.0,GET_FLAG,2,0.0,0,0,1,1,0,3.0,5.0,14.8661
4v4,GUARD,A,17600001,46,1,0,0,0,17.0,10.0,GET_FLAG,2,0.0,2,0,1,0,0,17.0,10.0,0.0
