policy,pole,arm,seed,defender_id,blue,red,win,margin,steps,sealed_blue,sealed_red,time_to_first_carry,time_to_first_carry_excl_defender,n_carry_starts,n_carry_starts_excl_defender,total_carry_ticks,total_carry_ticks_excl_defender,n_carry_clean_release,n_carry_tag_caught,red_carrying_ticks,n_red_carry_starts,tagged_ticks_total,tagged_fraction,first_tag_tick,mean_active_count
pi_B,B,native,20900017,1,3,0,1,3,87,3,0,13.0,19.0,4,2,44,27,2,1,0,0,140,0.2681992337164751,7.0,4.390804597701149
pi_B,B,plus_one_defender,20900017,1,0,0,0,0,240,0,0,15.0,15.0,12,12,27,27,0,11,0,0,547,0.3798611111111111,7.0,3.720833333333333
pi_A,A,native,20900018,2,1,0,1,1,240,1,0,14.0,14.0,3,3,210,210,1,1,201,1,89,0.06180555555555556,6.0,5.629166666666666
pi_A,A,plus_one_defender,20900018,2,1,0,1,1,240,1,0,23.0,23.0,6,6,175,175,1,4,173,1,232,0.16111111111111112,7.0,5.033333333333333
pi_A,B,native,20900018,2,2,0,1,2,240,2,0,14.0,14.0,3,3,191,191,2,0,165,1,136,0.09444444444444444,6.0,5.433333333333334
pi_A,B,plus_one_defender,20900018,2,1,1,0,0,240,1,1,16.0,16.0,11,11,30,30,1,10,22,1,540,0.375,7.0,3.75
pi_B,A,native,20900018,2,3,0,1,3,202,3,0,14.0,14.0,10,8,140,123,2,7,105,3,207,0.1707920792079208,6.0,4.975247524752476
pi_B,A,plus_one_defender,20900018,2,1,0,1,1,240,1,0,14.0,14.0,6,6,195,195,1,4,170,1,206,0.14305555555555555,7.0,5.141666666666667
pi_B,B,native,20900018,2,3,0,1,3,85,3,0,13.0,13.0,3,3,44,44,2,0,0,0,129,0.2529411764705882,6.0,4.482352941176471
pi_B,B,plus_one_defender,20900018,2,3,0,1,3,190,3,0,13.0,13.0,10,10,62,62,2,7,0,0,369,0.3236842105263158,8.0,4.057894736842106
pi_A,A,native,20900019,3,1,0,1,1,240,1,0,15.0,15.0,2,1,214,14,1,0,207,1,80,0.05555555555555555,9.0,5.666666666666667
pi_A,A,plus_one_defender,20900019,3,2,0,1,2,240,2,0,17.0,17.0,7,7,167,167,2,4,140,1,217,0.15069444444444444,9.0,5.095833333333333
pi_A,B,native,20900019,3,1,0,1,1,240,1,0,26.0,26.0,18,15,54,46,1,16,0,0,600,0.4166666666666667,8.0,3.5
pi_A,B,plus_one_defender,20900019,3,1,0,1,1,240,1,0,28.0,28.0,9,9,34,34,1,8,5,1,480,0.3333333333333333,8.0,4.0
pi_B,A,native,20900019,3,1,0,1,1,240,1,0,12.0,12.0,3,3,210,210,1,1,197,1,85,0.059027777777777776,8.0,5.645833333333333
pi_B,A,plus_one_defender,20900019,3,3,1,1,2,189,3,1,12.0,12.0,10,10,118,118,2,7,84,2,236,0.20811287477954143,8.0,4.751322751322752
pi_B,B,native,20900019,3,3,0,1,3,230,3,0,12.0,12.0,13,11,77,70,2,10,0,0,524,0.37971014492753624,6.0,3.7217391304347824
pi_B,B,plus_one_defender,20900019,3,3,0,1,3,220,3,0,18.0,18.0,9,9,54,54,2,6,0,0,414,0.31363636363636366,6.0,4.118181818181818
pi_A,A,native,20900020,4,2,0,1,2,240,2,0,16.0,16.0,4,4,184,184,2,1,167,1,135,0.09375,9.0,5.4375
pi_A,A,plus_one_defender,20900020,4,1,0,1,1,240,1,0,16.0,16.0,4,4,205,205,1,2,205,2,189,0.13125,9.0,5.2125
pi_A,B,native,20900020,4,3,0,1,3,89,3,0,14.0,14.0,3,3,42,42,2,0,0,0,131,0.24531835205992508,8.0,4.52808988764045
pi_A,B,plus_one_defender,20900020,4,2,0,1,2,240,2,0,15.0,15.0,10,10,55,55,2,7,1,1,475,0.3298611111111111,9.0,4.020833333333333
pi_B,A,native,20900020,4,0,0,0,0,240,0,0,14.0,14.0,3,3,221,221,0,2,217,1,68,0.04722222222222222,9.0,5.716666666666667
pi_B,A,plus_one_defender,20900020,4,3,0,1,3,86,3,0,16.0,16.0,4,4,46,46,2,1,8,2,85,0.16472868217054262,9.0,5.011627906976744
pi_B,B,native,20900020,4,3,0,1,3,134,3,0,14.0,14.0,6,5,51,47,2,3,0,0,260,0.32338308457711445,9.0,4.059701492537314
pi_B,B,plus_one_defender,20900020,4,1,0,1,1,240,1,0,28.0,28.0,6,6,27,27,1,5,0,0,543,0.3770833333333333,9.0,3.7375
pi_A,A,native,20900021,5,1,0,1,1,240,1,0,13.0,13.0,2,2,208,208,1,0,208,1,124,0.08611111111111111,6.0,5.483333333333333
pi_A,A,plus_one_defender,20900021,5,2,0,1,2,240,2,0,13.0,13.0,6,6,190,190,2,3,184,2,180,0.125,6.0,5.25
